"site_name","directions","quadrant","fetch"
"Dodger Channel 1",200,"South",4385.66224779205
"Dodger Channel 1",210,"South",437.114906869428
"Dodger Channel 1",220,"South",480.596894538157
"Dodger Channel 1",230,"West",59999.7470876337
"Dodger Channel 1",240,"West",174.3290826464
"Dodger Channel 1",250,"West",130.950474207549
"Dodger Channel 1",260,"West",117.955493973067
"Dodger Channel 1",270,"West",93.4832350036595
"Dodger Channel 1",280,"West",88.0408064206342
"Dodger Channel 1",290,"West",91.3560429849552
"Dodger Channel 1",300,"West",117.75492710751
"Dodger Channel 1",310,"West",120.784494214824
"Dodger Channel 1",320,"North",188.030757490445
"Dodger Channel 1",330,"North",363.090639477455
"Dodger Channel 1",340,"North",1010.23758046551
"Dodger Channel 1",350,"North",601.413344100051
"Dodger Channel 2",0,"North",112.942470595339
"Dodger Channel 2",10,"North",97.7225126985401
"Dodger Channel 2",20,"North",80.5846256930201
"Dodger Channel 2",30,"North",54.0849978371767
"Dodger Channel 2",40,"North",50.9771882773546
"Dodger Channel 2",50,"East",54.736352955511
"Dodger Channel 2",60,"East",62.5563014241956
"Dodger Channel 2",70,"East",73.0247661523473
"Dodger Channel 2",80,"East",78.0210758136592
"Dodger Channel 2",90,"East",83.8984054783359
"Dodger Channel 2",100,"East",134.66029930728
"Dodger Channel 2",110,"East",190.999167393843
"Dodger Channel 2",120,"East",303.562878513966
"Dodger Channel 2",130,"East",343.71452116851
"Dodger Channel 2",140,"South",990.049417740728
"Dodger Channel 2",150,"South",1029.75912384767
"Dodger Channel 2",160,"South",493.315236631945
"Dodger Channel 2",170,"South",436.531631591019
"Dodger Channel 2",180,"South",430.837814863496
"Dodger Channel 2",190,"South",454.63989236908
"Dodger Channel 2",200,"South",452.202633877594
"Dodger Channel 2",210,"South",317.759567657457
"Dodger Channel 2",220,"South",293.51802144879
"Dodger Channel 2",230,"West",301.142570682328
"Dodger Channel 2",240,"West",307.089590685757
"Dodger Channel 2",250,"West",1063.89981173818
"Dodger Channel 2",260,"West",396.06974182176
"Dodger Channel 2",270,"West",360.425918607973
"Dodger Channel 2",280,"West",458.536104986606
"Dodger Channel 2",290,"West",606.267161838069
"Dodger Channel 2",300,"West",8145.26075759239
"Dodger Channel 2",310,"West",11422.4325538005
"Dodger Channel 2",320,"North",10243.3567246985
"Dodger Channel 2",330,"North",242.047171545383
"Dodger Channel 2",340,"North",182.832748163503
"Dodger Channel 2",350,"North",128.937153913409
"Ed King East Inside",0,"North",11974.1345429072
"Ed King East Inside",10,"North",15824.8868812722
"Ed King East Inside",20,"North",1195.07482110513
"Ed King East Inside",30,"North",524.027661240342
"Ed King East Inside",40,"North",504.338696152048
"Ed King East Inside",50,"East",504.710935201235
"Ed King East Inside",60,"East",625.356266633203
"Ed King East Inside",70,"East",668.900727674499
"Ed King East Inside",80,"East",663.214899247936
"Ed King East Inside",90,"East",1289.68316162517
"Ed King East Inside",100,"East",737.479688908697
"Ed King East Inside",110,"East",771.673564837073
"Ed King East Inside",120,"East",474.817534163222
"Ed King East Inside",130,"East",135.636391964882
"Ed King East Inside",140,"South",133.333928417949
"Ed King East Inside",150,"South",149.939183749808
"Ed King East Inside",160,"South",89.7914328441939
"Ed King East Inside",170,"South",77.214591480511
"Ed King East Inside",180,"South",76.0067874856068
"Ed King East Inside",190,"South",74.6710261644166
"Ed King East Inside",200,"South",67.1596079792059
"Ed King East Inside",210,"South",60.7702426014831
"Ed King East Inside",220,"South",55.9857192866689
"Ed King East Inside",230,"West",53.4038461265952
"Ed King East Inside",240,"West",52.5150253277356
"Ed King East Inside",250,"West",53.0999559507
"Ed King East Inside",260,"West",55.4003325233789
"Ed King East Inside",270,"West",60.5890734454151
"Ed King East Inside",280,"West",69.9623380186695
"Ed King East Inside",290,"West",7842.49354791053
"Ed King East Inside",300,"West",6607.07092614402
"Ed King East Inside",310,"West",14709.6771975174
"Ed King East Inside",320,"North",8538.72034252163
"Ed King East Inside",330,"North",9024.31762488116
"Ed King East Inside",340,"North",8611.22863441386
"Ed King East Inside",350,"North",9302.79353770023
"Flemming 112",0,"North",57.1855385751696
"Flemming 112",10,"North",100.561591732234
"Flemming 112",20,"North",231.814071660751
"Flemming 112",30,"North",263.994931696595
"Flemming 112",40,"North",500.82542225325
"Flemming 112",50,"East",504.988138986549
"Flemming 112",60,"East",519.832068148287
"Flemming 112",70,"East",905.859676040487
"Flemming 112",80,"East",8371.49755964862
"Flemming 112",90,"East",4360.58895209921
"Flemming 112",100,"East",3714.99769260999
"Flemming 112",110,"East",3579.09428161743
"Flemming 112",120,"East",3161.4430366533
"Flemming 112",130,"East",3575.54841418981
"Flemming 112",140,"South",3724.94096370288
"Flemming 112",150,"South",3228.95620294886
"Flemming 112",160,"South",3553.28666607622
"Flemming 112",170,"South",4277.15222570152
"Flemming 112",180,"South",4849.45145179861
"Flemming 112",190,"South",6181.73117086
"Flemming 112",200,"South",7804.05998946687
"Flemming 112",210,"South",3350.05353028531
"Flemming 112",220,"South",3519.8414681233
"Flemming 112",230,"West",1535.14487177475
"Flemming 112",240,"West",509.850691057619
"Flemming 112",250,"West",433.999716576404
"Flemming 112",260,"West",252.564299435606
"Flemming 112",270,"West",166.669332406949
"Flemming 112",280,"West",157.901471934086
"Flemming 112",290,"West",81.1274887521135
"Flemming 112",300,"West",40.1730289489074
"Flemming 112",310,"West",39.3518603814203
"Flemming 112",320,"North",40.6512684241895
"Flemming 112",330,"North",43.0036257127204
"Flemming 112",340,"North",44.623264158639
"Flemming 112",350,"North",47.8814665831607
"Flemming 114",0,"North",101.443203792426
"Flemming 114",10,"North",409.156532830868
"Flemming 114",20,"North",303.570986961706
"Flemming 114",30,"North",294.583499976042
"Flemming 114",40,"North",314.420926407107
"Flemming 114",50,"East",379.434891501005
"Flemming 114",60,"East",524.492772266474
"Flemming 114",70,"East",1461.90900211721
"Flemming 114",80,"East",7847.36707592929
"Flemming 114",90,"East",6166.7309967475
"Flemming 114",100,"East",4704.58663278608
"Flemming 114",110,"East",3274.78587753502
"Flemming 114",120,"East",2736.03573932386
"Flemming 114",130,"East",2368.39783263483
"Flemming 114",140,"South",2620.36167040371
"Flemming 114",150,"South",2801.17938499058
"Flemming 114",160,"South",3014.48669128923
"Flemming 114",170,"South",3272.55849321796
"Flemming 114",180,"South",4479.6700083138
"Flemming 114",190,"South",4850.59526051001
"Flemming 114",200,"South",6834.26789147022
"Flemming 114",210,"South",12081.4253332142
"Flemming 114",220,"South",437.948538016164
"Flemming 114",230,"West",367.590139112993
"Flemming 114",240,"West",234.906728847056
"Flemming 114",250,"West",194.370671611028
"Flemming 114",260,"West",186.293724465656
"Flemming 114",270,"West",181.921769849723
"Flemming 114",280,"West",167.415289359293
"Flemming 114",290,"West",139.321746219511
"Flemming 114",300,"West",56.0085956680936
"Flemming 114",310,"West",41.2106239415922
"Flemming 114",320,"North",34.3945366891328
"Flemming 114",330,"North",33.7685492665951
"Flemming 114",340,"North",34.1850662836332
"Flemming 114",350,"North",89.9760985221861
"Less Dangerous Bay",0,"North",27.6030150368262
"Less Dangerous Bay",10,"North",30.5701874661857
"Less Dangerous Bay",20,"North",34.4490330899318
"Less Dangerous Bay",30,"North",40.1476004191667
"Less Dangerous Bay",40,"North",51.5734653458563
"Less Dangerous Bay",50,"East",81.5800344265039
"Less Dangerous Bay",60,"East",93.111640689482
"Less Dangerous Bay",70,"East",96.9804831433274
"Less Dangerous Bay",80,"East",102.883834302759
"Less Dangerous Bay",90,"East",109.45333742979
"Less Dangerous Bay",100,"East",103.805568096851
"Less Dangerous Bay",110,"East",95.0385987942397
"Less Dangerous Bay",120,"East",89.8840057505737
"Less Dangerous Bay",130,"East",87.8079670021229
"Less Dangerous Bay",140,"South",88.1981959750274
"Less Dangerous Bay",150,"South",91.1470815923624
"Less Dangerous Bay",160,"South",103.87795986226
"Less Dangerous Bay",170,"South",129.046969117536
"Less Dangerous Bay",180,"South",150.094563586671
"Less Dangerous Bay",190,"South",176.098667074513
"Less Dangerous Bay",200,"South",231.28756080437
"Less Dangerous Bay",210,"South",371.871159907195
"Less Dangerous Bay",220,"South",1483.92544380354
"Less Dangerous Bay",230,"West",59999.9002960838
"Less Dangerous Bay",240,"West",6000.60514185926
"Less Dangerous Bay",250,"West",8423.23414374452
"Less Dangerous Bay",260,"West",5138.60828100886
"Less Dangerous Bay",270,"West",4366.59295391361
"Less Dangerous Bay",280,"West",3298.25973069756
"Less Dangerous Bay",290,"West",37.43828719601
"Less Dangerous Bay",300,"West",30.5308567826394
"Less Dangerous Bay",310,"West",27.5776627387691
"Less Dangerous Bay",320,"North",25.8619097700699
"Less Dangerous Bay",330,"North",25.0641016423997
"Less Dangerous Bay",340,"North",25.0721679863312
"Less Dangerous Bay",350,"North",25.8775881895444
"Nanat Bay",0,"North",445.423987589605
"Nanat Bay",10,"North",3246.9745033057
"Nanat Bay",20,"North",402.368714777724
"Nanat Bay",30,"North",368.934465351263
"Nanat Bay",40,"North",359.062021569961
"Nanat Bay",50,"East",355.678994362537
"Nanat Bay",60,"East",359.545889496775
"Nanat Bay",70,"East",347.201268639153
"Nanat Bay",80,"East",242.978762671347
"Nanat Bay",90,"East",182.553749352694
"Nanat Bay",100,"East",142.559862867736
"Nanat Bay",110,"East",110.843987194728
"Nanat Bay",120,"East",85.0903192791237
"Nanat Bay",130,"East",68.8458875957682
"Nanat Bay",140,"South",43.2874902429607
"Nanat Bay",150,"South",26.3020614448574
"Nanat Bay",160,"South",17.8688348498287
"Nanat Bay",170,"South",15.2274725288909
"Nanat Bay",180,"South",14.6857565733142
"Nanat Bay",190,"South",15.3765338981959
"Nanat Bay",200,"South",20.1030294710758
"Nanat Bay",210,"South",69.8764868364732
"Nanat Bay",220,"South",100.361417834363
"Nanat Bay",230,"West",116.424073494803
"Nanat Bay",240,"West",134.868197976704
"Nanat Bay",250,"West",171.524458676213
"Nanat Bay",260,"West",6487.25886102593
"Nanat Bay",270,"West",4225.38726629224
"Nanat Bay",280,"West",3335.41010647443
"Nanat Bay",290,"West",3196.036330729
"Nanat Bay",300,"West",2843.76745296955
"Nanat Bay",310,"West",2501.15656855683
"Nanat Bay",320,"North",2158.78080200888
"Nanat Bay",330,"North",2027.57253053587
"Nanat Bay",340,"North",1958.94631252065
"Nanat Bay",350,"North",2334.96294067138
"North Helby Rock",0,"North",1115.9288906066
"North Helby Rock",10,"North",1695.06153567381
"North Helby Rock",20,"North",2464.46706637408
"North Helby Rock",30,"North",3108.15271178543
"North Helby Rock",40,"North",3878.05390856117
"North Helby Rock",50,"East",528.087203714876
"North Helby Rock",60,"East",13637.1536444841
"North Helby Rock",70,"East",5558.05897477816
"North Helby Rock",80,"East",4574.72384713764
"North Helby Rock",90,"East",4143.86024633027
"North Helby Rock",100,"East",3151.2688010076
"North Helby Rock",110,"East",2989.24152014781
"North Helby Rock",120,"East",2835.59049943226
"North Helby Rock",130,"East",3608.14608726287
"North Helby Rock",140,"South",2606.64631790852
"North Helby Rock",150,"South",341.471190696554
"North Helby Rock",160,"South",302.388024794314
"North Helby Rock",170,"South",278.429193671948
"North Helby Rock",180,"South",244.683099998734
"North Helby Rock",190,"South",248.164201976325
"North Helby Rock",200,"South",219.216694618445
"North Helby Rock",210,"South",160.914217810331
"North Helby Rock",220,"South",141.552355015645
"North Helby Rock",230,"West",129.808001347109
"North Helby Rock",240,"West",126.269753696981
"North Helby Rock",250,"West",120.460286490663
"North Helby Rock",260,"West",128.374840344879
"North Helby Rock",270,"West",172.800405881368
"North Helby Rock",280,"West",196.981423598159
"North Helby Rock",290,"West",12836.1555063756
"North Helby Rock",300,"West",27.4042795342968
"North Helby Rock",310,"West",21.7671104606739
"North Helby Rock",320,"North",20.729165523937
"North Helby Rock",330,"North",21.1875319458344
"North Helby Rock",340,"North",24.1632851106864
"North Helby Rock",350,"North",29.1417230321731
"Ross Islet 2",0,"North",472.374294449929
"Ross Islet 2",10,"North",218.144396455188
"Ross Islet 2",20,"North",129.283777364593
"Ross Islet 2",30,"North",143.177584991129
"Ross Islet 2",40,"North",149.554456906547
"Ross Islet 2",50,"East",126.894025368141
"Ross Islet 2",60,"East",135.054698060761
"Ross Islet 2",70,"East",234.034657342383
"Ross Islet 2",80,"East",255.504221824463
"Ross Islet 2",90,"East",21.5246673137881
"Ross Islet 2",100,"East",17.4028477666307
"Ross Islet 2",110,"East",15.8300514777383
"Ross Islet 2",120,"East",15.2338151676152
"Ross Islet 2",130,"East",15.1237147046176
"Ross Islet 2",140,"South",16.5694305274203
"Ross Islet 2",150,"South",19.5199578258932
"Ross Islet 2",160,"South",29.8588539697052
"Ross Islet 2",170,"South",53.2050526272692
"Ross Islet 2",180,"South",2314.84304043086
"Ross Islet 2",190,"South",467.212850356189
"Ross Islet 2",200,"South",234.975816626378
"Ross Islet 2",210,"South",160.984678946924
"Ross Islet 2",220,"South",142.081779458228
"Ross Islet 2",230,"West",137.983124711849
"Ross Islet 2",240,"West",142.123919840928
"Ross Islet 2",250,"West",135.777166532245
"Ross Islet 2",260,"West",124.94652569755
"Ross Islet 2",270,"West",114.371969810687
"Ross Islet 2",280,"West",106.624776198678
"Ross Islet 2",290,"West",179.507920184883
"Ross Islet 2",300,"West",303.286344433096
"Ross Islet 2",310,"West",345.323046181455
"Ross Islet 2",320,"North",12563.9753542048
"Ross Islet 2",330,"North",322.101608208774
"Ross Islet 2",340,"North",286.060100978221
"Ross Islet 2",350,"North",11933.9672506063
"Ross Islet Slug Island",0,"North",290.512091370299
"Ross Islet Slug Island",10,"North",256.390824372423
"Ross Islet Slug Island",20,"North",303.903444002975
"Ross Islet Slug Island",30,"North",632.739148543035
"Ross Islet Slug Island",40,"North",641.546925908524
"Ross Islet Slug Island",50,"East",777.084560126577
"Ross Islet Slug Island",60,"East",2943.35257335973
"Ross Islet Slug Island",70,"East",11716.3400088439
"Ross Islet Slug Island",80,"East",5690.95786194617
"Ross Islet Slug Island",90,"East",4734.75112705957
"Ross Islet Slug Island",100,"East",3959.19352956965
"Ross Islet Slug Island",110,"East",4070.5079037566
"Ross Islet Slug Island",120,"East",26.7571526428102
"Ross Islet Slug Island",130,"East",13.6142172145333
"Ross Islet Slug Island",140,"South",9.31962264526492
"Ross Islet Slug Island",150,"South",7.25224799269611
"Ross Islet Slug Island",160,"South",6.35826841817939
"Ross Islet Slug Island",170,"South",5.92465751798356
"Ross Islet Slug Island",180,"South",5.70879649103153
"Ross Islet Slug Island",190,"South",5.67446747163173
"Ross Islet Slug Island",200,"South",5.81621530824637
"Ross Islet Slug Island",210,"South",6.21326435675534
"Ross Islet Slug Island",220,"South",7.09622474079942
"Ross Islet Slug Island",230,"West",8.57544368797297
"Ross Islet Slug Island",240,"West",11.2661788519466
"Ross Islet Slug Island",250,"West",17.178211683577
"Ross Islet Slug Island",260,"West",88.5035034180644
"Ross Islet Slug Island",270,"West",286.31243584631
"Ross Islet Slug Island",280,"West",291.204096115586
"Ross Islet Slug Island",290,"West",327.072544334405
"Ross Islet Slug Island",300,"West",383.323345310799
"Ross Islet Slug Island",310,"West",212.618827584851
"Ross Islet Slug Island",320,"North",201.786799929278
"Ross Islet Slug Island",330,"North",9475.95953641754
"Ross Islet Slug Island",340,"North",298.172925834406
"Ross Islet Slug Island",350,"North",281.210040323038
"Second Beach",0,"North",3457.72406469836
"Second Beach",10,"North",3646.30376788392
"Second Beach",20,"North",7699.72579144411
"Second Beach",30,"North",10189.1933499873
"Second Beach",40,"North",15940.8313289565
"Second Beach",50,"East",1179.70248611204
"Second Beach",60,"East",364.243973045436
"Second Beach",70,"East",362.69559850764
"Second Beach",80,"East",432.034583155229
"Second Beach",90,"East",457.277534036664
"Second Beach",100,"East",465.56345656181
"Second Beach",110,"East",441.646502158739
"Second Beach",120,"East",405.55576394148
"Second Beach",130,"East",27.6261280003046
"Second Beach",140,"South",22.5268183054231
"Second Beach",150,"South",20.1203885325639
"Second Beach",160,"South",21.3310496938623
"Second Beach",170,"South",23.4550187736118
"Second Beach",180,"South",25.5851287810653
"Second Beach",190,"South",28.574985737026
"Second Beach",200,"South",37.3925525024099
"Second Beach",210,"South",54.4257875659319
"Second Beach",220,"South",87.4854452431343
"Second Beach",230,"West",373.647422677619
"Second Beach",240,"West",341.673583034262
"Second Beach",250,"West",60000.3191412346
"Second Beach",260,"West",60000.3313545017
"Second Beach",270,"West",60000.3
"Second Beach",280,"West",3391.90944543813
"Second Beach",290,"West",2976.24139803546
"Second Beach",300,"West",2788.62798861635
"Second Beach",310,"West",2277.87704495697
"Second Beach",320,"North",2628.60925692985
"Second Beach",330,"North",2141.34622829145
"Second Beach",340,"North",2775.98278294248
"Second Beach",350,"North",3954.27063012631
"Second Beach South",0,"North",3664.6503857246
"Second Beach South",10,"North",3592.79883293063
"Second Beach South",20,"North",7880.18549591464
"Second Beach South",30,"North",10185.0224511773
"Second Beach South",40,"North",16107.8789585752
"Second Beach South",50,"East",1346.3954572708
"Second Beach South",60,"East",520.781997883256
"Second Beach South",70,"East",65.7311088666369
"Second Beach South",80,"East",47.0385561458363
"Second Beach South",90,"East",39.638535200851
"Second Beach South",100,"East",35.1738050478625
"Second Beach South",110,"East",35.3074624385699
"Second Beach South",120,"East",36.7937166789154
"Second Beach South",130,"East",67.1040893124952
"Second Beach South",140,"South",94.3495052492949
"Second Beach South",150,"South",158.537039773837
"Second Beach South",160,"South",161.768905932404
"Second Beach South",170,"South",166.636726802791
"Second Beach South",180,"South",173.011350343267
"Second Beach South",190,"South",191.050663132703
"Second Beach South",200,"South",230.076502568315
