"SiteName","Depth_datum_m","HeightM","BiomassM","DensityM","Composition","Area_m2","Tempave","Tempmin","Tempmax","exp_36","Punderstory","Pcanopy","Phardbottom","Psoftbottom","Panimal","Pturf","Kelpdom"
"Between Scotts and Bradys",-0.225777091546849,-0.871676070838016,-0.573455255653098,-0.484957435164229,"Macro",-0.672621990207701,0.169598521189792,0.212445043056924,0.524949317197832,-0.632335138093434,0.0826708015237207,-0.493623573639714,0.164770263319022,0.310034936820867,-0.212608068421997,0.346754511702022,"Giant"
"Bordelais Island",-0.0420612568834599,2.2797279670472,-0.549004776023422,-1.0358218645597,"Nereo",0.593511786605959,-0.117623586635705,0.182767039370246,-0.664043846544312,3.29965602897591,-0.613228651500378,-0.602338972578601,-0.15950156760615,-0.85620609916804,0.319783144788725,2.0840712773085,"Bull"
"Cable Beach (Blow Hole)",-0.757586086625079,-0.0834304123387576,-0.326456101722002,-0.809573973915132,"Nereo",-0.845609216021464,-0.349487180499046,-0.168422670921656,-0.194505144939109,-0.366971389056784,1.055248643152,-0.602338972578601,-0.350239973506246,-0.821775658164767,0.115755363342718,-0.426210482249991,"Bull"
"Danvers Danger Rock",-0.428831435122173,-1.03953345739427,-0.943463429316784,-0.780063379483232,"Macro",-1.1752964411197,0.0622755853697163,-0.143691001182887,0.466888079902562,-0.371608906755132,-1.55887763640326,-0.602338972578601,0.648765035993093,-0.809797985630393,1.35056939340742,2.2972396213439,"Giant"
"Dixon Island Back (Bay)",-0.457839198490077,-1.0120395751135,-0.9220114388327,-1.13419051266604,"Macro",-0.675013235851992,-0.413515670907594,0.0887866943624641,-0.54539697033225,-0.494711669934635,0.474898600291815,-0.0541252692396293,0.334720332148172,-0.400700632993267,-0.948852655172565,-0.383456602118127,"Giant"
"Dodger Channel 1",0.0352927787642826,-0.702240088169951,-0.79974854952284,-0.760389649861965,"Macro",0.245789598588064,-0.242492302046573,-0.465202707788115,-0.398981676283353,-0.404600306168631,0.816800445314031,-0.136495072364528,-0.462687786832826,0.737000228010733,-0.416809333368028,-0.832756463902013,"Giant"
"Dodger Channel 2",1.01188747881703,1.08749325359948,-0.148536734659119,-0.199688355655859,"Macro",1.58220409308378,-1.17410495761705,-1.00435310809543,-1.47690116867808,-0.590225284941405,0.958874246809968,0.761981451796301,-1.33942746464467,0.265442611586755,-1.0815001247562,-0.899370763413889,"Giant"
"Ed King East Inside",-1.36674911735105,0.19682886403094,2.4461075076731,1.61029476950069,"Mixed",0.573459459361533,-0.310152708000343,-0.56412938674365,-0.52015295411694,-0.277340390988445,1.81424369143954,-0.540960427542656,-0.874080695594831,-1.19706834090425,-0.422975944423332,-0.657563439958617,"Giant"
"Flemming 112",0.441401465914931,0.274121606987175,-0.619287520688843,-0.63251040732373,"Macro",-0.64228304859415,-0.622685432233901,-0.0942276617050428,-0.671617051408959,-0.170333477794543,-1.17553264320264,-0.331533435438787,-0.138383317270539,0.198754147103266,0.208123294521017,1.89574425201283,"Giant"
"Flemming 114",2.12385174125333,0.558532006465713,-1.02754133371141,-0.996474405317168,"Macro",-0.86673509471295,0.657914453911961,0.63782976256544,1.05002485447678,-0.116311948183309,-0.821219665163039,2.37338940262638,-1.43904776895591,1.99235644577619,-1.14286156704765,-0.749818935383725,"Giant"
